,entity,author_name,overall_polarity
0,73,Hematopoiesis News,Neutral
1,2,"Michael Wang, MD",Neutral
2,pharma healthnews,European Pharmaceutical Review,Neutral
3,tobyeyre82,Graham Collins,Neutral
4,cll,CLL Ireland,Neutral
5,yesterday,CLL Ireland,Neutral
6,uk,CLL Ireland,Neutral
7,cancertrials_ie,CLL Ireland,Neutral
8,19 march 2021,Mice Ideas,Neutral
9,7 00 pm 8 30 pm,Mice Ideas,Neutral
10,1,Mice Ideas,Neutral
11,subramanian,Mice Ideas,Neutral
12,2,Mice Ideas,Neutral
13,harshit khurana,Mice Ideas,Neutral
14,dr s h advani,Mice Ideas,Neutral
15,mumbai,Mice Ideas,Neutral
16,dr m,Mice Ideas,Neutral
17,today,Leukaemia Care,Positive
18,thursday 18th march,Leukaemia Care,Positive
19,the national institute for health and care excellence,Leukaemia Care,Positive
20,cll,Leukaemia Care,Positive
21,england,Leukaemia Care,Positive
22,17p,Helen Oram,Neutral
23,tp53,Helen Oram,Neutral
24,rituximab fcr,Helen Oram,Neutral
25,today,HealthWatch,Neutral
26,thursday,HealthWatch,Neutral
27,18 march 2021,HealthWatch,Neutral
28,2,Paperbirds_Hematology,Neutral
29,janrynne donnellystephen,CLL Ireland,Neutral
30,hsenccp paulreiddublin,CLL Ireland,Neutral
31,daiichisankyo,pharmaphorum,Neutral
32,1l,Toby Eyre,Neutral
33,uk,Toby Eyre,Neutral
34,tp53,Toby Eyre,Neutral
35,marc,Toby Eyre,Neutral
36,japanese,Lymphoma Papers,Neutral
37,japanese,Paperbirds_Hematology,Neutral
38,congress ebmt21 michaelwangmd mdandersonnews,Lymphoma Hub,Neutral
39,2,Lymphoma Hub,Neutral
40,kte x19 treatment lymsm,Lymphoma Hub,Neutral
41,solidarity,Thiago Carvalho,Neutral
42,232,Kartos Therapeutics,Neutral
43,iqvia,Apoli Naria,Neutral
44,rds argentina s r l,Apoli Naria,Neutral
45,1,Apoli Naria,Neutral
46,2,Apoli Naria,Neutral
47,3,Apoli Naria,Neutral
48,ab 4 amgen inc acalabrutinib,Apoli Naria,Neutral
49,lanadelumab,Apoli Naria,Neutral
50,remdesivir infliximab,Apoli Naria,Neutral
51,mesilato de cenicriviroc,Apoli Naria,Neutral
52,spitta1969,Apoli Naria,Neutral
53,4,"Michael Wang, MD",Neutral
54,fda,"Michael Wang, MD",Neutral
55,2013,"Michael Wang, MD",Neutral
56,2017,"Michael Wang, MD",Neutral
57,2020,"Michael Wang, MD",Neutral
58,cd20,Jeff Sharman,Neutral
59,17p,Jeff Sharman,Neutral
60,rituximab,Paperbirds_Hematology,Neutral
61,el,IM Médico,Neutral
62,primario de eficacia en,IM Médico,Neutral
63,astrazenecaes,IM Médico,Neutral
64,3,"CancerNetwork®, Home of the Journal ONCOLOGY®",Neutral
65,cll,"Tom Henry, MBA, RPh, CPh",Neutral
66,gvhdsm chronicgvhd,Hemalatha Rangarajan MD,Neutral
67,mantle cell,mednetnews,Neutral
68,017,mednetnews,Neutral
69,2028,mednetnews,Neutral
70,rel ref cll,Bita Fakhri,Neutral
71,20063,NCPE,Neutral
72,news von lesen,JOURNAL ONKOLOGIE,Neutral
73,zulassung studie,JOURNAL ONKOLOGIE,Neutral
74,sll,Oncology Learning Network,Neutral
75,recent year,Oncology Learning Network,Neutral
76,3,OncLive.com,Neutral
77,cll,TrialSite News,Neutral
78,533,TrialSite News,Neutral
79,japan,Lyfebulb,Neutral
80,imbruvica,The Medical Ed Cons.,Neutral
81,imbruvica,CarnivoresHealth,Neutral
82,imbruvica,Portfolio Penny,Neutral
83,imbruvica,FancyFinancy,Neutral
84,imbruvica,Robo Schmobo,Neutral
85,imbruvica,Financial Carnivores,Neutral
86,ammhémato l,NetCancer,Neutral
87,un,NetCancer,Neutral
88,chez les,NetCancer,Neutral
89,two,DMGAZ,Neutral
90,five,AnalySource: Premier Drug Pricing Services,Neutral
91,tuesday,AnalySource: Premier Drug Pricing Services,Neutral
92,january 26 2021,AnalySource: Premier Drug Pricing Services,Neutral
93,mm,AnalySource: Premier Drug Pricing Services,Neutral
94,cnbc moderna_tx,AnalySource: Premier Drug Pricing Services,Neutral
95,johnson,Helix BioPharma,Neutral
96,3,Helix BioPharma,Neutral
97,johnson,AlphaBronze,Neutral
98,3,AlphaBronze,Neutral
99,imbruvica,Plexus Ventures,Neutral
100,european,Paperbirds_Hematology,Neutral
101,japan,BiopharmaAsia,Neutral
102,japan,1stOncology,Neutral
103,testa,Roberto Bonin,Neutral
104,testa contro,Roberto Bonin,Neutral
105,nella,Roberto Bonin,Neutral
106,linfocitica,Roberto Bonin,Neutral
107,アストラゼネカのカルケンス,Taro Shiga,Neutral
108,cll,Taro Shiga,Neutral
109,imbruvica,Susan,Neutral
110,monday,BioCentury,Neutral
111,australia,BioCentury,Neutral
112,hong kong,BioCentury,Neutral
113,three year,Endpoints News,Neutral
114,first,Endpoints News,Neutral
115,second,Endpoints News,Neutral
116,imbruvica biopharma dive pharmatopnews oncologytopnews,Pharma Top News,Neutral
117,japan,OncLive.com,Neutral
118,imbruvica,FiercePharma,Neutral
119,jain american journal of hematology,Benlazar S.M Aminé,Neutral
120,japan,WebWire,Neutral
121,testa,Tecnomedicina,Neutral
122,testa contro,Tecnomedicina,Neutral
123,nella,Tecnomedicina,Neutral
124,linfocitica,Tecnomedicina,Neutral
125,3,HemOnc Today,Neutral
126,imbruvica,Dr Timos Papagatsias,Neutral
127,imbruvica,NewExpressNews,Neutral
128,johnson,Market Intelligence: Healthcare,Positive
129,johnson s imbruvica,Market Intelligence: Healthcare,Positive
130,imbruvica,Ben Fidler,Neutral
131,abbv jnj mrk,Ben Fidler,Neutral
