,entity,frequency
0,73,8
1,2,415
2,pharma healthnews,1
3,tobyeyre82,7
4,cll,1030
5,yesterday,38
6,uk,64
7,cancertrials_ie,3
8,19 march 2021,1
9,7 00 pm 8 30 pm,1
10,1,256
11,subramanian,1
12,2,415
13,harshit khurana,1
14,dr s h advani,1
15,mumbai,1
16,dr m,1
17,today,361
18,thursday 18th march,1
19,the national institute for health and care excellence,1
20,cll,1030
21,england,12
22,17p,159
23,tp53,94
24,rituximab fcr,9
25,today,361
26,thursday,25
27,18 march 2021,1
28,2,415
29,janrynne donnellystephen,1
30,hsenccp paulreiddublin,1
31,daiichisankyo,1
32,1l,24
33,uk,64
34,tp53,94
35,marc,6
36,japanese,11
37,japanese,11
38,congress ebmt21 michaelwangmd mdandersonnews,1
39,2,415
40,kte x19 treatment lymsm,1
41,solidarity,17
42,232,1
43,iqvia,1
44,rds argentina s r l,1
45,1,256
46,2,415
47,3,390
48,ab 4 amgen inc acalabrutinib,1
49,lanadelumab,1
50,remdesivir infliximab,1
51,mesilato de cenicriviroc,1
52,spitta1969,1
53,4,163
54,fda,889
55,2013,17
56,2017,121
57,2020,122
58,cd20,38
59,17p,159
60,rituximab,139
61,el,8
62,primario de eficacia en,1
63,astrazenecaes,2
64,3,390
65,cll,1030
66,gvhdsm chronicgvhd,1
67,mantle cell,6
68,017,1
69,2028,1
70,rel ref cll,4
71,20063,1
72,news von lesen,1
73,zulassung studie,1
74,sll,337
75,recent year,5
76,3,390
77,cll,1030
78,533,1
79,japan,29
80,imbruvica,166
81,imbruvica,166
82,imbruvica,166
83,imbruvica,166
84,imbruvica,166
85,imbruvica,166
86,ammhémato l,1
87,un,89
88,chez les,2
89,two,149
90,five,18
91,tuesday,18
92,january 26 2021,1
93,mm,21
94,cnbc moderna_tx,1
95,johnson,16
96,3,390
97,johnson,16
98,3,390
99,imbruvica,166
100,european,47
101,japan,29
102,japan,29
103,testa,2
104,testa contro,2
105,nella,3
106,linfocitica,4
107,アストラゼネカのカルケンス,1
108,cll,1030
109,imbruvica,166
110,monday,17
111,australia,19
112,hong kong,2
113,three year,23
114,first,477
115,second,124
116,imbruvica biopharma dive pharmatopnews oncologytopnews,1
117,japan,29
118,imbruvica,166
119,jain american journal of hematology,1
120,japan,29
121,testa,2
122,testa contro,2
123,nella,3
124,linfocitica,4
125,3,390
126,imbruvica,166
127,imbruvica,166
128,johnson,16
129,johnson s imbruvica,3
130,imbruvica,166
131,abbv jnj mrk,1
132,imbruvica,166
133,imbruvica,166
134,japan,29
135,3,390
136,eli,4
137,eli,4
138,sll,337
139,0 8,2
140,japan,29
141,japan,29
142,imbruvica,166
143,today,361
144,japan,29
145,japan,29
146,study v imbruvica,1
147,2l,3
148,6575 penny,1
149,new york,20
150,afx,1
151,finanztreff,1
152,japan,29
153,japan,29
154,japan,29
155,japan,29
156,japan,29
157,astrazeneca plc,13
158,japan,29
159,japan,29
160,astrazeneca plc,13
161,the european medicine agency review,1
162,cll,1030
163,cadth,1
164,first,477
165,a quarter,2
